trueSR	quasiSR	arfiSR	shearSR	quasiPD	arfiPD	shearPD
0.32	0.85109	0.70674	0.59346	165.97	120.86	85.456
0.56	0.73191	0.81501	0.73135	30.698	45.537	30.598
1.8	1.3824	1.2652	1.4778	23.2	29.711	17.9
3.2	1.8678	1.6215	2.1659	41.631	49.328	32.316
