trueSR	quasiSR	arfiSR	shearSR	quasiPD	arfiPD	shearPD
0.32	0.9165	0.57673	0.19674	186.41	80.228	38.519
0.56	0.72901	0.74364	0.57577	30.18	32.793	2.8161
1.8	1.4054	1.3537	1.5693	21.922	24.794	12.817
3.2	1.9307	1.8133	3.3537	39.666	43.334	4.8031
