trueSR	quasiSR	arfiSR	shearSR	quasiPD	arfiPD	shearPD
0.32	0.83294	0.55846	0.047635	160.29	74.519	85.114
0.56	0.9282	0.75131	0.63573	65.75	34.162	13.523
1.8	1.2122	1.2969	1.8614	32.656	27.95	3.4111
3.2	1.491	1.6686	2.5689	53.406	47.856	19.722
