x	v
0	-5.1381e-07
0.0010204	-5.1711e-07
0.0020408	-5.1373e-07
0.0030612	-5.0443e-07
0.0040816	-5.0697e-07
0.005102	-5.1082e-07
0.0061224	-5.1361e-07
0.0071429	-5.0789e-07
0.0081633	-4.9563e-07
0.0091837	-4.815e-07
0.010204	-4.834e-07
0.011224	-4.9276e-07
0.012245	-4.9155e-07
0.013265	-4.6047e-07
0.014286	-4.2205e-07
0.015306	-3.8823e-07
0.016327	-3.3628e-07
0.017347	-2.4744e-07
0.018367	-7.253e-08
0.019388	9.692e-08
0.020408	2.114e-07
0.021429	2.2008e-07
0.022449	1.9497e-07
0.023469	1.5204e-07
0.02449	1.5613e-07
0.02551	1.6945e-07
0.026531	1.8389e-07
0.027551	1.6867e-07
0.028571	1.5901e-07
0.029592	1.6055e-07
0.030612	1.6671e-07
0.031633	1.5847e-07
0.032653	1.4659e-07
0.033673	1.4421e-07
0.034694	1.4218e-07
0.035714	1.3733e-07
0.036735	1.3155e-07
0.037755	1.261e-07
0.038776	1.2097e-07
0.039796	1.1559e-07
0.040816	1.0931e-07
0.041837	1.0297e-07
0.042857	9.8616e-08
0.043878	9.5369e-08
0.044898	8.8151e-08
0.045918	8.11e-08
0.046939	7.7384e-08
0.047959	7.231e-08
0.04898	6.9167e-08
0.05	6.6778e-08
