x	v
0	-3.3945e-07
0.0010204	-3.4455e-07
0.0020408	-3.4582e-07
0.0030612	-3.4223e-07
0.0040816	-3.3589e-07
0.005102	-3.3566e-07
0.0061224	-3.4015e-07
0.0071429	-3.4273e-07
0.0081633	-3.4082e-07
0.0091837	-3.418e-07
0.010204	-3.4758e-07
0.011224	-3.445e-07
0.012245	-3.4133e-07
0.013265	-3.4865e-07
0.014286	-3.4499e-07
0.015306	-3.4278e-07
0.016327	-3.5285e-07
0.017347	-3.67e-07
0.018367	-3.7695e-07
0.019388	-3.9036e-07
0.020408	-4.1283e-07
0.021429	-4.2142e-07
0.022449	-4.2767e-07
0.023469	-4.3595e-07
0.02449	-4.0996e-07
0.02551	-3.8736e-07
0.026531	-3.7103e-07
0.027551	-3.6204e-07
0.028571	-3.4039e-07
0.029592	-3.1462e-07
0.030612	-2.8394e-07
0.031633	-2.4093e-07
0.032653	-1.8029e-07
0.033673	-8.4863e-08
0.034694	3.353e-08
0.035714	1.5695e-07
0.036735	2.4142e-07
0.037755	2.869e-07
0.038776	2.5793e-07
0.039796	2.122e-07
0.040816	1.7527e-07
0.041837	1.7877e-07
0.042857	1.9671e-07
0.043878	2.1965e-07
0.044898	1.9744e-07
0.045918	1.7538e-07
0.046939	1.651e-07
0.047959	1.8093e-07
0.04898	1.8521e-07
0.05	1.7564e-07
