x	v
0	-4.5277e-07
0.0010204	-4.738e-07
0.0020408	-4.9832e-07
0.0030612	-5.2366e-07
0.0040816	-5.3345e-07
0.005102	-5.2265e-07
0.0061224	-4.9823e-07
0.0071429	-4.8227e-07
0.0081633	-4.7562e-07
0.0091837	-4.7496e-07
0.010204	-4.7347e-07
0.011224	-4.676e-07
0.012245	-4.5501e-07
0.013265	-4.2993e-07
0.014286	-4.0103e-07
0.015306	-3.7155e-07
0.016327	-3.4367e-07
0.017347	-3.1673e-07
0.018367	-2.675e-07
0.019388	-1.8104e-07
0.020408	-7.1564e-08
0.021429	7.508e-08
0.022449	2.0012e-07
0.023469	2.9471e-07
0.02449	2.8703e-07
0.02551	2.5117e-07
0.026531	2.0053e-07
0.027551	2.0445e-07
0.028571	2.0432e-07
0.029592	1.9507e-07
0.030612	1.7804e-07
0.031633	1.7152e-07
0.032653	1.6837e-07
0.033673	1.6082e-07
0.034694	1.5343e-07
0.035714	1.4759e-07
0.036735	1.4183e-07
0.037755	1.3295e-07
0.038776	1.2764e-07
0.039796	1.2272e-07
0.040816	1.1493e-07
0.041837	1.0776e-07
0.042857	1.0326e-07
0.043878	1.0015e-07
0.044898	9.2206e-08
0.045918	8.5114e-08
0.046939	8.1169e-08
0.047959	7.5683e-08
0.04898	7.1393e-08
0.05	6.8112e-08
