x	v
0	-5.8723e-07
0.0010204	-6.032e-07
0.0020408	-6.103e-07
0.0030612	-6.0835e-07
0.0040816	-5.8592e-07
0.005102	-5.4537e-07
0.0061224	-4.8815e-07
0.0071429	-4.3641e-07
0.0081633	-3.9338e-07
0.0091837	-3.558e-07
0.010204	-3.0228e-07
0.011224	-2.3845e-07
0.012245	-1.6093e-07
0.013265	-7.4805e-08
0.014286	1.4246e-08
0.015306	1.0179e-07
0.016327	1.5723e-07
0.017347	1.7487e-07
0.018367	1.4225e-07
0.019388	1.123e-07
0.020408	1.0815e-07
0.021429	1.1363e-07
0.022449	1.1209e-07
0.023469	1.0459e-07
0.02449	1.0565e-07
0.02551	1.0437e-07
0.026531	1.0132e-07
0.027551	1.0113e-07
0.028571	9.8323e-08
0.029592	9.4127e-08
0.030612	9.2709e-08
0.031633	9.0145e-08
0.032653	8.7078e-08
0.033673	8.4565e-08
0.034694	8.0626e-08
0.035714	7.8542e-08
0.036735	7.6433e-08
0.037755	7.2366e-08
0.038776	6.9498e-08
0.039796	6.6382e-08
0.040816	6.3295e-08
0.041837	5.9499e-08
0.042857	5.6571e-08
0.043878	5.464e-08
0.044898	5.1775e-08
0.045918	4.9254e-08
0.046939	4.6892e-08
0.047959	4.4221e-08
0.04898	4.0788e-08
0.05	3.7214e-08
