x	v
0	-2.3735e-07
0.0010204	-2.2857e-07
0.0020408	-2.2154e-07
0.0030612	-2.1787e-07
0.0040816	-2.235e-07
0.005102	-2.3157e-07
0.0061224	-2.4265e-07
0.0071429	-2.4764e-07
0.0081633	-2.3962e-07
0.0091837	-2.3149e-07
0.010204	-2.3891e-07
0.011224	-2.3732e-07
0.012245	-2.2989e-07
0.013265	-2.293e-07
0.014286	-2.3497e-07
0.015306	-2.3482e-07
0.016327	-2.2963e-07
0.017347	-2.299e-07
0.018367	-2.4143e-07
0.019388	-2.6342e-07
0.020408	-2.8801e-07
0.021429	-3.1088e-07
0.022449	-3.2184e-07
0.023469	-3.2045e-07
0.02449	-3.4227e-07
0.02551	-3.6706e-07
0.026531	-3.9402e-07
0.027551	-4.1384e-07
0.028571	-4.2206e-07
0.029592	-4.1891e-07
0.030612	-4.1058e-07
0.031633	-4.0278e-07
0.032653	-3.9526e-07
0.033673	-3.8143e-07
0.034694	-3.6014e-07
0.035714	-3.3064e-07
0.036735	-3.0056e-07
0.037755	-2.7034e-07
0.038776	-2.2706e-07
0.039796	-1.5303e-07
0.040816	-4.7561e-08
0.041837	8.6704e-08
0.042857	2.0327e-07
0.043878	3.0177e-07
0.044898	3.2647e-07
0.045918	3.0337e-07
0.046939	2.4854e-07
0.047959	2.1479e-07
0.04898	2.1266e-07
0.05	2.4093e-07
