x	v
0	-4.6415e-07
0.0010204	-4.6071e-07
0.0020408	-4.5572e-07
0.0030612	-4.5193e-07
0.0040816	-4.5753e-07
0.005102	-4.6036e-07
0.0061224	-4.5936e-07
0.0071429	-4.5271e-07
0.0081633	-4.5191e-07
0.0091837	-4.5357e-07
0.010204	-4.5313e-07
0.011224	-4.5667e-07
0.012245	-4.6403e-07
0.013265	-4.6556e-07
0.014286	-4.567e-07
0.015306	-4.3511e-07
0.016327	-4.151e-07
0.017347	-4.0878e-07
0.018367	-4.0689e-07
0.019388	-3.9193e-07
0.020408	-3.655e-07
0.021429	-3.3093e-07
0.022449	-2.8786e-07
0.023469	-2.3541e-07
0.02449	-1.689e-07
0.02551	-8.9285e-08
0.026531	4.7736e-09
0.027551	1.069e-07
0.028571	2.0306e-07
0.029592	2.7607e-07
0.030612	2.9038e-07
0.031633	2.5569e-07
0.032653	2.0425e-07
0.033673	1.8892e-07
0.034694	1.9267e-07
0.035714	1.8035e-07
0.036735	1.6257e-07
0.037755	1.633e-07
0.038776	1.6282e-07
0.039796	1.5239e-07
0.040816	1.3545e-07
0.041837	1.3609e-07
0.042857	1.344e-07
0.043878	1.2264e-07
0.044898	1.1736e-07
0.045918	1.1473e-07
0.046939	1.1406e-07
0.047959	1.0849e-07
0.04898	1.0608e-07
0.05	1.0703e-07
