x	v
0	-5.7031e-07
0.0010204	-5.6789e-07
0.0020408	-5.6534e-07
0.0030612	-5.6494e-07
0.0040816	-5.6749e-07
0.005102	-5.5615e-07
0.0061224	-5.3756e-07
0.0071429	-5.2555e-07
0.0081633	-5.0941e-07
0.0091837	-4.6856e-07
0.010204	-3.3744e-07
0.011224	-1.4772e-07
0.012245	4.5743e-08
0.013265	1.2687e-07
0.014286	1.2088e-07
0.015306	8.2448e-08
0.016327	8.5112e-08
0.017347	9.9239e-08
0.018367	1.0031e-07
0.019388	9.6328e-08
0.020408	1.0171e-07
0.021429	1.0437e-07
0.022449	1.0248e-07
0.023469	9.7742e-08
0.02449	9.9358e-08
0.02551	9.9261e-08
0.026531	9.7869e-08
0.027551	9.779e-08
0.028571	9.5153e-08
0.029592	9.2901e-08
0.030612	9.1935e-08
0.031633	8.9146e-08
0.032653	8.5261e-08
0.033673	8.2978e-08
0.034694	8.0358e-08
0.035714	7.7252e-08
0.036735	7.4356e-08
0.037755	7.2452e-08
0.038776	7.0085e-08
0.039796	6.6509e-08
0.040816	6.3121e-08
0.041837	6.0115e-08
0.042857	5.7097e-08
0.043878	5.4614e-08
0.044898	5.3251e-08
0.045918	5.072e-08
0.046939	4.6829e-08
0.047959	4.4296e-08
0.04898	4.1158e-08
0.05	3.7544e-08
