x	v
0	-3.7239e-07
0.0010204	-3.846e-07
0.0020408	-3.9687e-07
0.0030612	-4.0948e-07
0.0040816	-4.1024e-07
0.005102	-4.1384e-07
0.0061224	-4.1973e-07
0.0071429	-4.2567e-07
0.0081633	-4.3514e-07
0.0091837	-4.4538e-07
0.010204	-4.4854e-07
0.011224	-4.4978e-07
0.012245	-4.5213e-07
0.013265	-4.5766e-07
0.014286	-4.6205e-07
0.015306	-4.5964e-07
0.016327	-4.5054e-07
0.017347	-4.3852e-07
0.018367	-4.1543e-07
0.019388	-3.9306e-07
0.020408	-3.738e-07
0.021429	-3.5573e-07
0.022449	-3.3218e-07
0.023469	-3.0225e-07
0.02449	-2.5501e-07
0.02551	-1.8463e-07
0.026531	-9.247e-08
0.027551	9.0559e-09
0.028571	1.1777e-07
0.029592	2.2279e-07
0.030612	2.8158e-07
0.031633	2.8686e-07
0.032653	2.3569e-07
0.033673	1.9514e-07
0.034694	1.8721e-07
0.035714	2.0565e-07
0.036735	2.0601e-07
0.037755	1.8009e-07
0.038776	1.6181e-07
0.039796	1.5807e-07
0.040816	1.5815e-07
0.041837	1.4375e-07
0.042857	1.3383e-07
0.043878	1.324e-07
0.044898	1.2778e-07
0.045918	1.2239e-07
0.046939	1.1855e-07
0.047959	1.1577e-07
0.04898	1.1315e-07
0.05	1.1181e-07
