x	v
0	-3.5026e-07
0.0010204	-3.6589e-07
0.0020408	-3.7689e-07
0.0030612	-3.8092e-07
0.0040816	-3.7629e-07
0.005102	-3.7269e-07
0.0061224	-3.7207e-07
0.0071429	-3.7984e-07
0.0081633	-3.787e-07
0.0091837	-3.711e-07
0.010204	-3.6776e-07
0.011224	-3.6572e-07
0.012245	-3.6638e-07
0.013265	-3.7212e-07
0.014286	-3.7974e-07
0.015306	-3.838e-07
0.016327	-3.8147e-07
0.017347	-3.7687e-07
0.018367	-3.8075e-07
0.019388	-3.9039e-07
0.020408	-3.9386e-07
0.021429	-3.9011e-07
0.022449	-3.8452e-07
0.023469	-3.7782e-07
0.02449	-3.7609e-07
0.02551	-3.7198e-07
0.026531	-3.6639e-07
0.027551	-3.5687e-07
0.028571	-3.3315e-07
0.029592	-3.0464e-07
0.030612	-2.6532e-07
0.031633	-2.0345e-07
0.032653	-1.1734e-07
0.033673	-1.359e-08
0.034694	1.0156e-07
0.035714	2.194e-07
0.036735	2.9536e-07
0.037755	3.1835e-07
0.038776	2.6198e-07
0.039796	2.0653e-07
0.040816	1.8378e-07
0.041837	2.0002e-07
0.042857	2.061e-07
0.043878	1.9254e-07
0.044898	1.7724e-07
0.045918	1.7514e-07
0.046939	1.8751e-07
0.047959	1.6911e-07
0.04898	1.6474e-07
0.05	1.7778e-07
