x	v
0	-5.7017e-07
0.0010204	-5.8483e-07
0.0020408	-5.406e-07
0.0030612	-4.2226e-07
0.0040816	-1.8324e-07
0.005102	-2.1216e-08
0.0061224	4.9772e-08
0.0071429	2.0102e-08
0.0081633	3.3471e-09
0.0091837	1.2146e-08
0.010204	1.5582e-08
0.011224	1.7525e-08
0.012245	1.9202e-08
0.013265	2.0895e-08
0.014286	2.2482e-08
0.015306	2.4595e-08
0.016327	2.57e-08
0.017347	2.3835e-08
0.018367	2.4093e-08
0.019388	2.5882e-08
0.020408	2.6883e-08
0.021429	2.8178e-08
0.022449	2.805e-08
0.023469	2.622e-08
0.02449	2.6659e-08
0.02551	2.6963e-08
0.026531	2.7147e-08
0.027551	2.7189e-08
0.028571	2.7001e-08
0.029592	2.6699e-08
0.030612	2.6611e-08
0.031633	2.6076e-08
0.032653	2.5613e-08
0.033673	2.6031e-08
0.034694	2.5528e-08
0.035714	2.5064e-08
0.036735	2.4694e-08
0.037755	2.3988e-08
0.038776	2.3761e-08
0.039796	2.3281e-08
0.040816	2.1977e-08
0.041837	2.1967e-08
0.042857	2.1389e-08
0.043878	2.0034e-08
0.044898	1.9332e-08
0.045918	1.8605e-08
0.046939	1.744e-08
0.047959	1.8159e-08
0.04898	1.7038e-08
0.05	1.4841e-08
