x	v
0	-2.171e-07
0.0010204	-2.2344e-07
0.0020408	-2.2061e-07
0.0030612	-2.1144e-07
0.0040816	-2.1561e-07
0.005102	-2.1623e-07
0.0061224	-2.1528e-07
0.0071429	-2.1823e-07
0.0081633	-2.1749e-07
0.0091837	-2.2382e-07
0.010204	-2.3888e-07
0.011224	-2.3909e-07
0.012245	-2.3315e-07
0.013265	-2.3761e-07
0.014286	-2.4832e-07
0.015306	-2.6954e-07
0.016327	-2.9041e-07
0.017347	-3.0157e-07
0.018367	-3.1463e-07
0.019388	-3.2992e-07
0.020408	-3.4361e-07
0.021429	-3.5979e-07
0.022449	-3.6648e-07
0.023469	-3.6145e-07
0.02449	-3.6549e-07
0.02551	-3.6775e-07
0.026531	-3.6945e-07
0.027551	-3.7727e-07
0.028571	-3.7994e-07
0.029592	-3.8247e-07
0.030612	-3.8843e-07
0.031633	-3.8267e-07
0.032653	-3.7316e-07
0.033673	-3.6474e-07
0.034694	-3.5559e-07
0.035714	-3.3838e-07
0.036735	-3.0357e-07
0.037755	-2.4728e-07
0.038776	-1.7443e-07
0.039796	-8.8084e-08
0.040816	1.2976e-08
0.041837	1.2685e-07
0.042857	2.3096e-07
0.043878	3.2726e-07
0.044898	3.4208e-07
0.045918	3.0598e-07
0.046939	2.3761e-07
0.047959	2.1616e-07
0.04898	2.2165e-07
0.05	2.5256e-07
