depth	maxDisp
0.01	3.7704e-06
0.02	1.5228e-06
0.03	5.2356e-07
0.04	1.7806e-07
0.05	1.0402e-07
0.06	8.1988e-08
0.07	7.0904e-08
0.08	8.8183e-10
0.09	3.8501e-10
