depth	maxDisp
0.01	3.289e-06
0.02	1.9325e-06
0.03	1.1304e-06
0.04	6.2785e-07
0.05	3.6571e-07
0.06	2.1871e-07
0.07	1.3086e-07
0.08	8.1207e-08
0.09	4.6868e-08
