depth	maxDisp
0.01	3.8684e-06
0.02	1.6956e-06
0.03	7.5713e-07
0.04	3.0175e-07
0.05	1.5477e-07
0.06	9.0585e-08
0.07	5.359e-08
0.08	4.7137e-09
0.09	3.8623e-10
